Headline,Body ID,Stance,,,,,,
"What was fake on the Internet this week: Obama’s peace prize, pumpkin-spice condoms and insane winter snow",1400,agree,,,,,,
Jilted lover chops off his penis after girlfriend dumps him,1799,agree,,,,,,
"Michael Zehaf-Bibeau, slain Ottawa shooter, had criminal record in Quebec, B.C.",1554,agree,,,,,,
Breaking: Soldier shot at National War Memorial in Ottawa,2156,agree,,,,,,
Seth Rogen to play Steve Wozniak alongside Christian Bale's Steve Jobs,999,agree,,,,,,
"Obama, Outraged Over Beheading, Vows to Stay on Course",1658,agree,,,,,,
Does ISIS Have Ebola? Probably Not! Media Reports It Anyway,2060,agree,,,,,,
"Meteorite Strikes Nicaraguan Capital, Creates 16-Foot-Deep Crater",966,agree,,,,,,
"Macaulay Culkin NOT Dead: Facebook, Twitter Death Hoax Goes Viral",1545,agree,,,,,,
Michael Phelps' girlfriend was born male but did not tell swimmer about her past,862,agree,,,,,,
Sugarhill Gang rapper Big Bank Hank dead at 57,2351,agree,,,,,,
"Calm down everyone, Banksy hasn't been arrested: 9 clues that it's a hoax",2362,agree,,,,,,
Jeh Johnson shoots down Duncan Hunter's assertion IS is entering U.S. via Mexico,1764,agree,,,,,,
"Gill Rosenberg, Canadian-Israeli Woman Feared Kidnapped By ISIS, Says She's Safe",26,agree,,,,,,
Banksy arrest hoax: US website claims street artist caught in Watford,1739,agree,,,,,,
Mystery man slaps shoppers around head for sneezing,1897,agree,,,,,,
"Christian Bale passes on role of Steve Jobs, actor reportedly felt he wasn't right for part",1846,agree,,,,,,
Ottawa Shooting: Soldier Shot at Canada's National War Memorial,2281,agree,,,,,,
Lynch mob use butcher's meat cleaver to castrate rapist they caught attacking teenage girl in alleyway in Indian city,830,agree,,,,,,
MACAULAY CULKIN IS THE LATEST VICTIM OF A CELEBRITY DEATH HOAX — AND THESE 9 STARS KNOW EXACTLY HOW HE FEELS!,2326,agree,,,,,,
"Sorry, Fido. Pope Francis did NOT say our pets are going to heaven",1832,agree,,,,,,
The iPhone 6 'Hairgate' Is Not a Thing,1041,agree,,,,,,
ISIS Border Crisis: DHS Chief Says Terrorists Not Entering US Through Mexico,666,agree,,,,,,
James Foley remembered as 'brave and tireless' journalist,1336,agree,,,,,,
Man chops off his own penis after girlfriend told him he was no good in bed,1517,agree,,,,,,
"Once Again, The Banksy 'Arrest' Is A Giant Hoax. Repeat: A Hoax.",2468,agree,,,,,,
"Dead for 48 minutes, this Catholic Priest claims God is female",1849,agree,,,,,,
Watch US Marine get shot in HEAD by Taliban sniper - and live to tell tale,2360,agree,,,,,,
ISIS Beheads Kidnapped Photojournalist James Wright Foley in Horrific Video Message to the U.S.,2386,agree,,,,,,
US confirms death of Somalia terror group leader,2374,agree,,,,,,
Italian fisherman catches monstrous 280-pound catfish,18,agree,,,,,,
ISIL Beheads American Photojournalist in Iraq,205,agree,,,,,,
Saudis Say Michelle Obama Not Blurred on TV,343,agree,,,,,,
Report: Christian Bale Just Bailed on the Steve Jobs Movie,454,agree,,,,,,
Chugging eggnog at office party lands man in hospital,741,agree,,,,,,
Elderly Woman Arrested for Kidnapping Neighbor's Cats & Making Fur Coats,1938,agree,,,,,,
Israeli-Canadian Woman 'Captured' By ISIS Says She Is 'Safe And Secure',756,agree,,,,,,
"Pumpkin Spice Condoms, And 6 Other Flavors That Aren’t Happening",2055,agree,,,,,,
Lynch Mob Castrates Alleged Rapist In Rajasthan,650,agree,,,,,,
"ISIS Video Shows Execution of David Cawthorne Haines, British Aid Worker",1182,agree,,,,,,
Dog abandoned at Ayr station with belongings in suitcase,1544,agree,,,,,,
US drones hunt Isis leader in Syria,1740,agree,,,,,,
"Prankster Gives Homeless Man $100, Secretly Follows Him And Learns He Buys Food For Others",2061,agree,,,,,,
"Tee-off in your own putting paradise: Swedish luxury island owned by Tiger Woods up for sale - and it comes with a villa, a hot tub and a lodge",1375,agree,,,,,,
"In Vogue vs Rats War, the Rats Are Winning",2498,agree,,,,,,
Founding Fathers-Era Time Capsule Found in Boston,2257,agree,,,,,,
Mexico Says Missing Students Not Found In First Mass Graves,1795,agree,,,,,,
"Tiger Woods is not on suspension for failing a drug test, his agent and a PGA official say",1339,agree,,,,,,
WATCH: Stan Beaton cries tears of joy when phone engineers find treasured voicemail recording of his late wife he thought was lost forever,1640,agree,,,,,,
"No, Banksy Didn't Create That 'Charlie Hebdo' Tribute Cartoon, But That Doesn't Mean You Can't Appreciate It",2024,agree,,,,,,
Shocking picture shows mother trying to sell her own son to pay for twin daughter's cancer treatment,1627,agree,,,,,,
Macaulay Culkin Victim of Another Online Death Hoax,1752,agree,,,,,,
Woman Dumped by Boyfriend Spends Entire Week Mourning at KFC,2414,agree,,,,,,
Angry mob hacks off alleged rapist's genitals with meat cleaver after dragging him into butchers,1022,agree,,,,,,
ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY,2067,agree,,,,,,
"No, a bird didn't poop on Vladimir Putin",1438,agree,,,,,,
"Dead for 48 minutes, this Catholic Priest claims God is female",1407,agree,,,,,,
Angry mob chops off man's genitals with butcher’s knife for alleged rape attempt,830,agree,,,,,,
GRAPHIC CONTENT: Girl sneers at man's tiny penis so he CHOPS IT OFF and bins it,2496,agree,,,,,,
Constipated goldfish operated on by North Walsham vet,1541,agree,,,,,,
Sugarhill Gang Rapper ‘Big Bank Hank’ Dies at 57,824,agree,,,,,,
Ottawa gunman identified as 32-year-old Michael Zehaf-Bibeau,1970,agree,,,,,,
Web of confusion as scientists cast doubt on man's claims that a spider burrowed into his stomach through his SCAR,2042,agree,,,,,,
Crank-Boosting Behind Top Apps in App Store,1384,agree,,,,,,
How did a Texas plumber's truck end up with Syrian rebels? (+video),2379,agree,,,,,,
Israeli-Canadian Woman 'Captured' By ISIS Says She Is 'Safe And Secure',1976,agree,,,,,,
More American Weapons for ISIS,1949,agree,,,,,,
"Man cuts off manhood, throws it in the bin, after girlfriend leaves over small penis",1410,agree,,,,,,
"Hundreds of dog-lovers from around the world offer home to pet abandoned at the railway station with a suitcase containing his pillow, toy, bowl and favourite food",2523,agree,,,,,,
"Ann Arbor pizza delivery driver surprised with $2,000 tip",623,agree,,,,,,
Macaulay Culkin Dead: Actor Once Again Victim Of Death Hoax,2341,agree,,,,,,
"ISIS beheads American photo-journalist James Wright Foley, threatens more to come",2450,agree,,,,,,
The Unluckiest Man In The World Set His College On Fire With A Fireworks Marriage Proposal,1592,agree,,,,,,
CPWD official sacked for absence from duty for 25 years,829,agree,,,,,,
Nun gives birth to surprise baby after complaining of stomach pains,1412,agree,,,,,,
Homeland Security: No ISIL fighters on U.S. border,1890,agree,,,,,,
Macaulay Culkin Dead? Another Death Hoax Circulates On Facebook,1752,agree,,,,,,
The “Flood Libel” Propagandists of 2015,1965,agree,,,,,,
James Foley remembered as 'brave and tireless' journalist,1966,agree,,,,,,
Knightscope Security Robots Are Keeping Microsoft Campuses Safe (and They Look Really Scary),2529,agree,,,,,,
Caught a catfish record in Po: 127 kg and 2.67 meters,2161,agree,,,,,,
Speeding Up ‘Seinfeld’ For Younger Viewers,1260,agree,,,,,,
Spider burrowed through tourist's stomach and up into his chest,1478,agree,,,,,,
Priest who died for 48 minutes says he met God and she’s a woman,2515,agree,,,,,,
Dumped woman spends a week in KFC to get over ex,2414,agree,,,,,,
NET Extra: Back-from-the-dead Catholic priest claims God is a female,1407,agree,,,,,,
Ottawa shooting: Sergeant-at-arms Kevin Vickers hailed a hero for shooting rampaging gunman,1666,agree,,,,,,
"Boy, 16, secretly films sex with teacher then uploads it to WhatsApp",1018,agree,,,,,,
Kim Jong-Un's Scottish Dog Meat Restaurant Is Probably Fabricated Shite,1222,agree,,,,,,
Durex Is Not Making Pumpkin Spice Condoms After All: A Hoax Debunked,2055,agree,,,,,,
Bodies In Mexico Mass Grave Apparently Not Those Of Missing Students,1795,agree,,,,,,
Vice CEO Throws Down $300K on Lavish Vegas Dinner,1834,agree,,,,,,
Brian Williams Demands Apology From Social Media Over Erroneous Urination Reports (Video),2034,agree,,,,,,
"After Giving A Homeless Man $100, This Guy Secretly Filmed Him...",760,agree,,,,,,
China: Satirical site warns citizens over name choices,1137,agree,,,,,,
British hostage David Haines beheaded by Islamic State terrorists,2440,agree,,,,,,
Tropical spider burrowed under man's skin through appendix scar and lived there for THREE DAYS,1860,agree,,,,,,
"'American bombing had signed my death certificate': Missing US journalist James Wright Foley goes unflinching to his death as ISIS behead him in horrific video, as a warning to Obama",1336,agree,,,,,,
Seven girls as young as 13 become pregnant on a school trip,397,agree,,,,,,
Spider Burrows Into Australian Man's Appendix Scar (VIDEO),1883,agree,,,,,,
Man who skipped work for 24 years is finally fired,829,agree,,,,,,
Pentagon: 1 weapons bundle seized by militants,2307,agree,,,,,,
"Sadly, Pumpkin Spice Condoms Aren't A Thing After All",724,agree,,,,,,
Pentagon confirms al-Shabab leader killed in airstrike in Somalia,1423,agree,,,,,,
"Everybody Relax, Banksy Wasn’t Arrested And Exposed As A 35-Year-Old Man",1739,agree,,,,,,
Lego letter from the 1970s still offers a powerful message to parents 40 years later,2171,agree,,,,,,
Pumpkin Spice condoms? Don't fall for this hoax.,2055,agree,,,,,,
"Batmobile stolen in Detroit? Good one, joker!",684,agree,,,,,,
Christmas Is Cancelled: Pumpkin Spice Condoms Are a Goddamn Hoax,2269,agree,,,,,,
WHO says reports of suspected Ebola cases in Iraq are untrue,1778,agree,,,,,,
Microsoft Tried Out Robot Security Guards on Its Silicon Valley Campus,1837,agree,,,,,,
Banksy's illustrated response to the Charlie Hebdo attack isn't by Banksy. But it is striking,2070,agree,,,,,,
Doubts cast over Nicaragua meteorite claim,1056,agree,,,,,,
Texas City plumber's truck ends up in Syrian war,2379,agree,,,,,,
"No, a spider (probably) didn't crawl through a man's body for several days",1923,agree,,,,,,
‘Wild Misinformation’: Brian Williams Explains the Mike Seidel Liveshot,1333,agree,,,,,,
SHOCKING: Indian Man's Penis Cut-off After He Was Caught Attempting Rape [Photos],2115,agree,,,,,,
Meet the X-BOY: Electric shock turns kid into MAGNETO,1433,agree,,,,,,
University Bans Word ‘Freshman’ Because It’s Sexist and Promotes Rape,655,agree,,,,,,
Michael Phelps’ ‘girlfriend’ reveals she was born a man – and never told the swimmer,1029,agree,,,,,,
BiH: Seven Primary School Students Pregnant After Five-Day Excursion,2097,agree,,,,,,
Real-life Magneto boy 'becomes living magnet' after getting massive electric shock from street lamp,887,agree,,,,,,
"Big Bank Hank, US rapper and Sugarhill Gang founder member, dies at 57",2351,agree,,,,,,
Incredible Video Shows A US Marine Surviving Being Shot In The Head By A Sniper In Afghanistan,2046,agree,,,,,,
Son Pays Off His Parents’ Mortgage for Christmas,988,agree,,,,,,
Government fires employee who skipped work for 24 years,932,agree,,,,,,
Christian Bale Exits Steve Jobs Movie (Exclusive),1846,agree,,,,,,
Jilted lover chops off his penis after girlfriend dumps him,1410,agree,,,,,,
Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,2272,agree,,,,,,
"Calm Yourselves, Durex Has NOT Come Out With A Pumpkin Spice Condom",1247,agree,,,,,,
Doubts cast over Nicaragua meteorite claim,1573,agree,,,,,,
Rapper Big Bank Hank of Sugarhill Gang dies at 57,993,agree,,,,,,
Pants on Fire: Duncan Hunter makes unconfirmed claim Border Patrol caught at least 10 ISIS fighters,2385,agree,,,,,,
Blundering boyfriend burns down college after trying to impress his girlfriend with elaborate marriage proposal,1876,agree,,,,,,
YPG Confirms: Gill Rosenberg Not Captured in Kobani,2142,agree,,,,,,
"Obama, Outraged Over Beheading, Vows to Stay on Course",1747,agree,,,,,,
"Macaulay Culkin NOT Dead: Facebook, Twitter Death Hoax Goes Viral",585,agree,,,,,,
"Hostage David Haines' Murder 'Evil', PM Says",1989,agree,,,,,,
"Taibbi takes time out from First Look after “disagreements.” Can I publish our emails now, Matt?",879,agree,,,,,,
Jeh Johnson shoots down Duncan Hunter's assertion IS is entering U.S. via Mexico,2016,agree,,,,,,
Banksy arrest hoax: US website claims street artist caught in Watford,2362,agree,,,,,,
Boyfriend cuts off his penis and throws it in the bin after girlfriend dumps him for being bad in bed,1410,agree,,,,,,
This Selfless Homeless Man Receives $100 & Doesn't Spend A Dime On Himself!,2305,agree,,,,,,
Dog Found Abandoned With Suitcase Filled With His Belongings,2483,agree,,,,,,
Chinese State Media Warns People To Stop Calling Themselves Dumbledore,1660,agree,,,,,,
"Hoax Alert: Father O’Neal, Who Has Met God and Thinks She’s a Woman, Is Made Up (Just Like God Herself)",1549,agree,,,,,,
Watch US Marine get shot in HEAD by Taliban sniper - and live to tell tale,1481,agree,,,,,,
Josh Paler Lin Gives A Homeless Man $100 And Follows Him To See How He Spends It,2061,agree,,,,,,
Man has his PENIS cut off by angry mob after 'attempted rape' of teenager,1981,agree,,,,,,
WHO says reports of suspected Ebola cases in Iraq are untrue,2180,agree,,,,,,
Texas plumber threatened over jihadis using his old truck,2242,agree,,,,,,
ESPN’s All-Male “Monday Night Football” Panel On Domestic Violence Is Not Real,2181,agree,,,,,,
Bunbury local discovered a spider had burrowed under his skin on Bali holiday,1638,agree,,,,,,
Italian fisherman catches monstrous 280-pound catfish,1028,agree,,,,,,
Isilkulskom student has gained superhero powers after shock,1433,agree,,,,,,
Hoax 'Banksy Arrested in London' Story Dupes the Internet Again,1301,agree,,,,,,
Turkish Leader Says U.S. Airdrop Aided ISIS Militants,1363,agree,,,,,,
"No, Islamic State Militants Have Not Been Caught by U.S. Border Patrol",2016,agree,,,,,,
Italian catches huge wels catfish; is it a record?,188,agree,,,,,,
Angry mob cut off rapist’s penis with meat cleaver (VIEWER DISCRETION),830,agree,,,,,,
Dog abandoned at Scotland train station with suitcase,2483,agree,,,,,,
Lynch Mob Castrates Alleged Rapist In Rajasthan,1022,agree,,,,,,
Israeli Canadian fighting ISIS posts on Facebook: I'm safe and secure,2037,agree,,,,,,
Cameron vows to hunt down IS 'monsters' after Haines murder,1097,agree,,,,,,
Missing Mexican students 'not found in mass grave',1984,agree,,,,,,
CARLISLE HEAD SLAPPER ATTACKS SNEEZING WOMEN,1897,agree,,,,,,
Dog abandoned at Ayr station with belongings in suitcase,2523,agree,,,,,,
Man who SLAPS people if they sneeze in public being hunted by police,1897,agree,,,,,,
Police hunting mystery 'slapper' in tweed jacket who attacks people who sneeze in town's high street,438,agree,,,,,,
Electric shock turns Russian boy into Marvel's Magneto,497,agree,,,,,,
"Tiger Woods is not on suspension for failing a drug test, his agent and a PGA official say",2330,agree,,,,,,
"Brian Williams: No, Our Meteorologist Was Not Peeing on Live TV",1968,agree,,,,,,
Magic mushroom found growing at Buckingham Palace,1258,agree,,,,,,
"No, Banksy Didn't Create That 'Charlie Hebdo' Tribute Cartoon, But That Doesn't Mean You Can't Appreciate It",1357,agree,,,,,,
An accidental delivery of arms to the Islamic State and the problem with airdrops,2172,agree,,,,,,
"Vice's Shane Smith drops $300,000 on Vegas dinner",1239,agree,,,,,,
Duped again: Macaulay Culkin is not dead,1559,agree,,,,,,
Michael Phelps’ girlfriend Taylor Lianne Chandler reveals she was raised as a boy,1342,agree,,,,,,
"Rumors of King Abdullah Flying in Airstrikes Not True, Fox Excited Anyway",2274,agree,,,,,,
Boko Haram denies ceasefire claim by Nigeria's government,2272,agree,,,,,,
Isilkulskom student has gained superhero powers after shock,80,agree,,,,,,
SEE IT: California homeless man uses $100 gift to give food to others,1925,agree,,,,,,
Vigilantes cut off alleged rapist's penis,56,agree,,,,,,
Dylan Thomas Finds Tropical Spider Burrowed Under Skin,1104,agree,,,,,,
Here Are Microsoft's New Robot Security Guards,687,agree,,,,,,
Lynch Mob Castrates Alleged Rapist In Rajasthan,1981,agree,,,,,,
"James Foley: American Journalist, James Wright Foley Beheaded in New ISIS Video [Breaking News]",1206,agree,,,,,,
Fence-jumper got farther into White House,1365,agree,,,,,,
Conde Nast's rat problem at One World Trade Centre: From red carpets to rodent droppings,1045,agree,,,,,,
Sugarhill Gang rapper Big Bank Hank dies at age 57,2080,agree,,,,,,
CPWD official sacked for absence from duty for 25 years,1951,agree,,,,,,
This Man Paid Off His Parents' Mortgage for Christmas (Video),1567,agree,,,,,,
Macaulay Culkin Dead? Another Death Hoax Circulates On Facebook,2502,agree,,,,,,
Bodies In Mexico Mass Grave Apparently Not Those Of Missing Students,1427,agree,,,,,,
Saudi cleric condemns snowmen as anti-Islamic,732,agree,,,,,,
Watch: US Marine saved by helmet after being shot by Taliban sniper,44,agree,,,,,,
"In Moscow, police are looking for a felon, cut the male genitals",516,agree,,,,,,
Big Bank Hank dead: Sugarhill Gang member and rapper dies aged 57,2351,agree,,,,,,
Sugarhill Gang co-founder Big Bank Hank dies,2398,agree,,,,,,
Video shows dramatic moment bullet strikes U.S. Marine’s head — and he survives thanks to kevlar helmet,2360,agree,,,,,,
Video messaging service verifies timing of CNN audio recording,1818,agree,,,,,,
A Husband Breaks Down In Tears After Lost Voicemail Message By His Late Wife Is Recovered,2020,agree,,,,,,
Islamic State fighters detonate 'SCORPION bombs' in terror siege,776,agree,,,,,,
Graphic Photo: Oliver Ilic Uses Razor Blade To Slice Off Own Manhood After Girlfriend Broke Up With Him,2496,agree,,,,,,
Man Severed Penis That Failed To Impress Girls,1799,agree,,,,,,
NET Extra: Back-from-the-dead Catholic priest claims God is a female,2240,agree,,,,,,
Report: Christian Bale Just Bailed on the Steve Jobs Movie,2211,agree,,,,,,
"It was me! Student, 19, reveals SHE was the Teletubbies' giggling baby in the sky - and was paid just £250 and a box of toys",2076,agree,,,,,,
"Man chops off own penis, throws it in a dustbin after poor show in bed",1517,agree,,,,,,
ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY,1747,agree,,,,,,
Islamist terrorists Jabhat Ansar al-Deen tweet picture of Texas plumber’s truck fitted with anti-aircraft gun in Syria,2242,agree,,,,,,
Teacher sex tape exposed as a FAKE after internet detectives trace the origin of pornographic clip,795,agree,,,,,,
Indian civil servant sacked 'after 24-year sickie',225,agree,,,,,,
"280 Pound Catfish: Fisherman Makes Huge Catch In Italy, Catfish Could Set Record",842,agree,,,,,,
"James Foley: American Journalist, James Wright Foley Beheaded in New ISIS Video [Breaking News]",782,agree,,,,,,
Nasa questions whether crater in Nicaragua caused by meteorite,2475,agree,,,,,,
North Korea denies reports Kim Jong-un is to open state-backed restaurant in Scotland,1873,agree,,,,,,
Photo gallery: Amazing £300 operation by North Walsham vet on constipated goldfish,1541,agree,,,,,,
'Jihadi John': Isis fighter named as Mohammed Emwazi from west London,2349,agree,,,,,,
ADVISORY-Islamist rebel leader killed in U.S. strike - Somali government,1423,agree,,,,,,
"After Giving A Homeless Man $100, This Guy Secretly Filmed Him...",1245,agree,,,,,,
"North Korean leader Kim Jong-un not missing, just having ankle surgery",2053,agree,,,,,,
"'American bombing had signed my death certificate': Missing US journalist James Wright Foley goes unflinching to his death as ISIS behead him in horrific video, as a warning to Obama",1658,agree,,,,,,
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,419,agree,,,,,,
WTC rats scare off Anna Wintour,821,agree,,,,,,
"A message from Jim's mom, Diane Foley:",2450,agree,,,,,,
The rats eat Prada at Vogue NY office,2263,agree,,,,,,
Spider Burrows Into Australian Man's Appendix Scar (VIDEO),1819,agree,,,,,,
Ski Resort Opens With Snow Stored From Last Season,1670,agree,,,,,,
Sadly Vladimir Putin Hasn’t Been Driving Round In A Motorcade Shaped Like A Penis,2069,agree,,,,,,
400 men cut their testicles off believing it would help them meet God,2336,agree,,,,,,
That ESPN Domestic Violence Panel You Keep Hearing About Isn't Real,1699,agree,,,,,,
"Sadly, Pumpkin Spice Condoms Aren't A Thing After All",1400,agree,,,,,,
"Everybody Relax, Banksy Wasn’t Arrested And Exposed As A 35-Year-Old Man",2362,agree,,,,,,
Lego letter from the 1970s still offers a powerful message to parents 40 years later,1292,agree,,,,,,
Dylan Thomas Finds Tropical Spider Burrowed Under Skin,1860,agree,,,,,,
Christmas Is Cancelled: Pumpkin Spice Condoms Are a Goddamn Hoax,1954,agree,,,,,,
"ISIS using bombs containing live SCORPIONS in effort to spread panic, in tactic used 2,000 years ago against Romans",1474,agree,,,,,,
Someone painted a graffiti dick on a $2.5 million car,2369,agree,,,,,,
Hope Fades for Girls' Release After Boko Haram 'Truce' Breached,1340,agree,,,,,,
'Jihadi John' identified: ISIS killer named as Mohammed Emwazi from West London,1219,agree,,,,,,
Seven girls fall pregnant after five day school trip in Bosnia and Herzegovina,2508,agree,,,,,,
Texas City plumber's truck ends up in Syrian war,2015,agree,,,,,,
eBay is planning an Apple Watch app,70,agree,,,,,,
‘Wild Misinformation’: Brian Williams Explains the Mike Seidel Liveshot,1968,agree,,,,,,
Judd Nelson rebuffs Internet rumors that he died of a drug overdose.,139,agree,,,,,,
Would you take a bite out of the world's oldest burger? Men keep Quarter Pounder they bought 20 YEARS ago for a friend who never showed up to meet them,2474,agree,,,,,,
"Seven High School Girls Get Pregnant On Five-Day School Trip, Parents Outraged",1140,agree,,,,,,
Magic mushrooms found in BUCKINGHAM PALACE by Alan Titchmarsh,2478,agree,,,,,,
Michael Phelps’ ‘girlfriend’ reveals she was born a man – and never told the swimmer,1820,agree,,,,,,
Axl Rose NOT Dead: Fake MSNBC Death Hoax Goes Viral On Facebook,2166,agree,,,,,,
BiH: Seven Primary School Students Pregnant After Five-Day Excursion,2248,agree,,,,,,
"One gunman killed in shooting on Parliament Hill in Ottawa, hunt on for other shooters",2156,agree,,,,,,
"BATMOBILE NOT STOLEN, MTV CONTEST PRIZE REMAINS UNCLAIMED",1528,agree,,,,,,
Islamic State killer 'Jihadi John' named as Mohammed Emwazi,1374,agree,,,,,,
God is a woman- Priest who died for 48 minutes claims,1008,agree,,,,,,
Microsoft turns to robotic security guards to watch for trouble,2432,agree,,,,,,
Cheese addiction breaks Kim Jong-un's ankles,1480,agree,,,,,,
Mohammed Islam Denies Making $72 Million From Stock Market Trading,2407,agree,,,,,,
